score,hand_length,action,result,reward
19,3,DOUBLE DOWN,win,40
16,2,SURRENDER,surrendered,-10
10,10,STAND,lose,-20
15,10,HIT,unsettled,0
16,10,SURRENDER,surrendered,-10
9,8,STAND,win,20
11,10,SURRENDER,surrendered,-10
19,3,HIT,unsettled,0
20,3,SURRENDER,surrendered,-10
20,7,STAND,draw,0
12,10,HIT,unsettled,0
17,10,SURRENDER,surrendered,-10
10,11,STAND,lose,-20
10,5,DOUBLE DOWN,win,40
19,10,RETRY,unsettled,-5
17,10,HIT,bust,-20
13,4,HIT,unsettled,0
16,4,HIT,bust,-20
20,10,SURRENDER,surrendered,-10
17,5,SURRENDER,surrendered,-10
19,5,SURRENDER,surrendered,-10
13,10,HIT,unsettled,0
20,10,DOUBLE DOWN,lose,-40
18,4,STAND,lose,-20
